title,predicted_category
Junge Mutter und Säugling angegriffen,Raub
"Auto weg, Drogen weg, Geld weg",Brandstiftung
Mann angegriffen und verletzt,Raub
Fußgängerin bei Unfall verletzt,Verkehrsunfall
Stein auf Stadtautobahn geworfen,Raub
Festnahme nach Diebstahl aus Auto,Brandstiftung
Kind schwer verletzt,Verkehrsunfall
Pkw brannte,Raub
Aus fahrendem Auto Schuss abgegeben,Brandstiftung
Fahrkartenkontrolleur beleidigt und angegriffen – Festnahme,Körperverletzung
Kind auf Tramgleise gestürzt,Raub
Mobiler Baukran in Brand gesetzt,Sachbeschädigung
Vor der Polizei geflüchtet und Widerstand geleistet – Festnahme,Betrug
Spezialeinsatzkommando nimmt Jugendliche fest,Raub
Mutmaßlicher Autoeinbrecher festgenommen,Raub
Brandstiftungen und mehrere Sachbeschädigungen,Raub
Drogen-Vertriebsnetz stillgelegt,Raub
Bei Angriff verletzt,Verkehrsunfall
Geldautomat versucht zu öffnen,Raub
„110 Prozent Berlin - der Podcast der Hauptstadtpolizei“– Start einer Podcast-Mini-Serie der Polizei Berlin,Raub
Verdacht der Brandstiftung,Körperverletzung
Fahrzeuge in Brand gesetzt,Sachbeschädigung
Autos standen in Flammen,Sachbeschädigung
Stein trifft Auto einer Familie,Raub
Überfall in Discounter,Sachbeschädigung
Transporter angezündet,Raub
Party aufgelöst,Raub
Schüsse auf der Straße,Raub
Briefkasten beschädigt,Raub
Fahrzeug in Brand gesetzt,Sachbeschädigung
Gruppe zieht randalierend durch Pankow,Raub
Widerstand und tätlicher Angriff,Raub
Mit Stichverletzungen im Flur gefunden,Raub
Motorroller angezündet,Raub
Im Streit durch einen Messerstich verletzt,Raub
Mehrere Brandstiftungen an Fahrzeugen,Raub
Senioren ausgeraubt,Raub
Spielrunde aufgelöst,Raub
Beim Diebstahl erwischt und geflüchtet – Tatverdächtiger ermittelt,Raub
Nach Einbruch in Kiosk festgenommen,Sachbeschädigung
Zusammenstoß zwischen Linksabbiegerin und Rechtsabbieger,Raub
Einbruch in Sparkassenfiliale in Frohnau,Sachbeschädigung
Versucht Fahrrad zu rauben,Raub
Festnahme nach dem Versuch in ein Geschäft einzubrechen,Sachbeschädigung
Nachbar mit Messer attackiert,Raub
29-Jähriger schlägt um sich – Polizeibeamte verletzt,Raub
Toter in Treppenhaus,Sachbeschädigung
Polizist durch Reizstoff verletzt,Raub
Jugendschutzkontrollen mit dem Ordnungsamt Mitte,Raub
Seniorin angefahren,Raub
Mutmaßliche Taschendiebin festgenommen,Raub
Verdacht der Brandstiftung,Körperverletzung
Vermisster tot aufgefunden,Raub
Festnahmen nach versuchtem bandenmäßigen Postdiebstahl,Diebstahl
Festnahmen nach versuchtem Taschendiebstahl,Diebstahl
Mehrere Raubversuche und Körperverletzungen - Festnahme,Raub
Straftaten in Bundesgeschäftsstelle einer Partei,Sachbeschädigung
Unfall verursacht und geflüchtet,Raub
Mit Auto gegen Baum geprallt,Brandstiftung
"Erst gedroht, dann geschossen",Raub
Streitigkeiten zwischen Familien setzten sich fort,Raub
Ohne Mund-Nasen-Schutz Widerstand geleistet,Raub
Paketzusteller bei räuberischem Diebstahl verletzt,Verkehrsunfall
Vier Festnahmen nach Motorraddiebstahl,Diebstahl
Versuchter Einbruch in Bankfiliale – Polizei bittet um Mithilfe,Sachbeschädigung
Festnahme nach Geschäftseinbruch,Diebstahl
Brennendes Fahrzeug gemeldet,Raub
Feuer unter Carport,Raub
Lebensgefährlich verletzt - Opfer verstorben,Verkehrsunfall
Festnahmen nach Beleidigungen und Körperverletzung,Diebstahl
"Eingeparkt, um mit Drogen zu handeln",Raub
Getreten und mit Reizgas besprüht,Raub
Verleihung des Respektpreises – Gemeinsam gegen Hasskriminalität,Raub
Geldbörse entwendet – Festnahmen,Raub
Überfallen und schwer verletzt,Verkehrsunfall
Einsatzkräfte mit Steinen beworfen – Staatsschutz ermittelt,Raub
Pyrotechnik gezündet – drei Fahrzeuge ausgebrannt,Raub
Festnahme nach Taschendiebstahl,Diebstahl
Im Supermarkt beleidigt und randaliert – Festnahme,Körperverletzung
Festnahmen nach Taschendiebstahl,Diebstahl
Auseinandersetzung zwischen Brüderpaaren – Zwei Verletzte,Raub
Angriff mit Glasflasche – Eine Verletzte,Raub
Radfahrer gestürzt und schwer verletzt,Verkehrsunfall
Als Polizeibeamte ausgegeben – Festnahme,Raub
Ermittlungen der Mordkommission führten zur Namhaftmachung,Raub
In den Zug gezogen und mit Fäusten zugeschlagen,Sachbeschädigung
Festnahmen nach versuchten Einbrüchen,Diebstahl
Kind mit Baseballschläger angegriffen,Raub
Pizzen geraubt,Raub
Polizeikräfte bei Amtshilfe verletzt,Verkehrsunfall
Tabakwaren geraubt,Raub
Wegen Verdacht des Drogenmissbrauchs überprüft – stattdessen verbotene und umgebaute Böller gefunden,Raub
Fußgängerin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Nach Betrug unterschlagenes Fahrzeug entdeckt,Diebstahl
Fußgängerin von Bus erfasst,Raub
Fußgänger von Lastwagen erfasst,Raub
Kokstaxi angehalten - Mutmaßlicher Drogenhändler überführt,Raub
Pkw stieß gegen das Tor des Bundeskanzleramtes,Raub
Mann in Gemeinschaftsunterkunft randaliert und Polizisten mit Messer bedroht,Sachbeschädigung
Mitarbeiter eines Imbisses mit Beil attackiert - Festnahme,Raub
Versehentlich die eigene Frau überfahren,Raub
Angestellter einer Tankstelle überfallen,Raub
Mann bedroht Nachbarin und Kassiererin,Raub
Auseinandersetzung mit Messer und Machete,Raub
Brennende Fahrzeuge,Raub
Weiteres Leichenteil gefunden,Raub
Seniorin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Brand im Dachboden,Raub
Festnahmen nach Lokaleinbruch,Diebstahl
Schwerer Verkehrsunfall,Raub
Drogendealer überfallen - Mutmaßliche Räuber von Unbekannten verfolgt und geschlagen,Raub
Seitenscheibe von Auto eingeschlagen - Festnahme,Brandstiftung
Supermarkt mit Schusswaffe überfallen,Raub
Mann überfallen,Raub
Jeep angezündet,Raub
Der mutmaßliche Täter kam wieder - Festnahme,Raub
Stolpersteine beschmutzt,Raub
Aufzug durch Prenzlauer Berg und Mitte – Bilanz der Polizei Berlin,Raub
Beschlagnahme nach mehrmaliger Überschreitung der Höchstgeschwindigkeit,Diebstahl
In ein Geschäft gefahren – Festnahme,Sachbeschädigung
Mit Messer zugestochen,Raub
Brennendes Fahrzeug,Raub
Party aufgelöst,Raub
Zu schnell unterwegs,Raub
Auto brannte,Brandstiftung
Homophob beleidigt und mit Steinen beworfen,Körperverletzung
Mehrere Verletzte nach Verkehrsunfall,Diebstahl
Fußgänger verstarb noch am Unfallort,Raub
Verstorben nach Verkehrsunfall,Diebstahl
"Seniorin niedergeschlagen, beraubt und schwer verletzt",Raub
Kontrolle über das Auto verloren – Fahrer geriet in den Gegenverkehr,Brandstiftung
Nach Raub in Supermarkt – Gesuchter ermittelt,Sachbeschädigung
Zwei mutmaßliche Fahrraddiebe festgenommen,Raub
Störung des öffentlichen Friedens,Raub
Brand im Parkhaus und am geparkten Auto,Brandstiftung
Sachbeschädigung durch Farbschmiererei,Raub
Symbole und Sprüche gesprüht,Raub
Durch Metallkugel am Hals verletzt,Raub
Polizei Berlin zieht Bilanz zur Versammlungslage anlässlich der Abstimmungen über die Novellierung des Infektionsschutzgesetzes,Körperverletzung
Maske nicht getragen und mit Reizstoff gesprüht,Raub
Mit abgebrochenem Flaschenhals schwer verletzt,Verkehrsunfall
Streifenwagen mit Steinen beworfen,Raub
Radfahrer bei Verkehrsunfall tödlich verletzt,Verkehrsunfall
Brände in einer Tiefgarage und im Müllhaus,Sachbeschädigung
Mit Schlagstock niedergeschlagen,Raub
Berliner Verkehrssicherheitstage – Bilanz der Einsatzwoche,Raub
Auto in Flammen,Brandstiftung
Festnahme nach Kennzeichendiebstahl,Diebstahl
Mehrfach in die Beine gestochen,Sachbeschädigung
Spätkauf überfallen,Raub
Vor der Polizei geflüchtet - Auto beschlagnahmt,Brandstiftung
Kommissar Zufall findet Plantage,Raub
Unbekannter Toter in Wedding identifiziert,Sachbeschädigung
Missbräuchlich Notbremse gezogen,Raub
Körperverletzung und rassistische Beleidigung,Raub
Gegen Ampelmast gefahren,Raub
Festgenommen – entlassen - festgenommen,Raub
Drei Verletzte nach Feuer in Imbiss,Sachbeschädigung
Alkoholisierter Autofahrer verursacht mehrere Unfälle – Festnahme,Raub
Brennendes Auto bemerkt,Brandstiftung
Party aufgelöst und Widerstand geleistet,Raub
Festnahme nach Diebstählen aus Autos,Diebstahl
Tankstelle überfallen,Raub
Fünfjähriger bei Unfall schwer verletzt,Verkehrsunfall
Dienstfahrzeug in Brand gesetzt – Staatsschutz ermittelt,Sachbeschädigung
Polizist im Einsatz verletzt,Raub
Zwei schwer verletzte Radfahrende nach Zusammenstoß,Diebstahl
Ermittlungen wegen wechselseitiger gefährlicher Körperverletzung,Raub
Aus Fenstern geflüchtet,Raub
Polizei beendet Kellerparty - Verstöße gegen Betäubungsmittelgesetz und Infektionsschutzverodnung geahndet,Körperverletzung
Schwerer Autounfall,Raub
Verkehrsunfall mit Schwerverletzten,Raub
Kameramann attackiert - Festnahme,Raub
Mehrere Brandstiftungen an Fahrzeugen,Raub
Kind bei Fahrradsturz schwer verletzt,Verkehrsunfall
Kontrollierende beleidigt,Körperverletzung
Nach Diebstahl in Drogeriemarkt – Ladendetektiv rassistisch beleidigt,Sachbeschädigung
Wohnungseinbrecher festgenommen,Raub
Festnahmen nach Raub im Park,Diebstahl
Paketbote rassistisch beleidigt,Körperverletzung
Auffälliges Fahrverhalten – Flucht - Festnahme,Raub
"Festnahmen nach Drogenhandel - 1,5 Kilogramm Marihuana in Safe versteckt",Drogenvergehen
Brandstiftung an geparkten Autos,Raub
79-Jähriger bei Unfall schwer verletzt,Verkehrsunfall
Auto bei Brand beschädigt,Brandstiftung
Haftbefehl nach Drogenhandel,Diebstahl
Mehrere Festnahmen nach Taschendiebstahl,Diebstahl
Nach Sturz im Bus – Senior schwer verletzt,Verkehrsunfall
Feuerwerkskörper ins Schlafzimmer geworfen,Raub
Unbekannter schlug mehrfach mit Schlagstock zu,Raub
Nach Bedrohung und Körperverletzung in Schule - Schüler attackiert Polizisten,Sachbeschädigung
Auseinandersetzung in Hausflur,Sachbeschädigung
Kradfahrer nach Verkehrsunfall notoperiert,Diebstahl
Überfall mit Schusswaffe,Raub
Beim Abbiegen Fahrradfahrerin erfasst,Raub
Rettungskräfte angegriffen,Raub
Streit endete mit Messerstich,Raub
Kraftfahrer vor Verkehrskontrolle geflüchtet,Raub
Brennende Fahrzeuge,Raub
Schwerverletzter Polizeibeamter nach Flaschenwurf – Auslobung von 4000 Euro Belohnung,Diebstahl
Mutmaßlich menschliche Knochen gefunden,Raub
Mitarbeiter eines Imbisses beleidigt und bedroht,Körperverletzung
Schüsse vom Balkon,Raub
Während eines Streites rassistisch beleidigt,Körperverletzung
Notoperation nach Stichverletzung,Diebstahl
Party aufgelöst,Raub
Hintergründe zu einer Stichverletzung unklar,Raub
Auseinandersetzungen mit Verletzten,Raub
Sachbeschädigung an Geschäftsstelle einer Partei,Raub
"Gruppe beschädigt Schaufensterscheiben, Fassaden und Autos",Raub
Mit 106 statt der erlaubten 50 km/h unterwegs,Raub
Transporterfahrer überfallen - zufällige Festnahme bei Absuche,Raub
Von Unbekanntem mit Messer verletzt,Raub
Brand in Wohnung gelegt,Sachbeschädigung
Fußgänger und Motorradfahrer bei Unfall schwer verletzt,Verkehrsunfall
Mit Flaschen geworfen und mit Messer verletzt,Raub
Leerstehende Sporthalle angezündet,Raub
Mehrere Brandstiftungen an Fahrzeugen,Raub
Unvermittelt beleidigt und ins Gesicht gegriffen,Körperverletzung
Judenfeindlichkeit führte zu Auseinandersetzung,Raub
Verkehrsunfall mit Sonder- und Wegerechten,Raub
Bei Verkehrsunfall auf die Seite gekippt,Raub
Brennendes Auto bemerkt,Brandstiftung
Nach Kontrolle über den Fuß gefahren,Diebstahl
Festnahmen nach versuchtem Einbruch in einen Bahnhofskiosk,Diebstahl
Mutmaßliche Schüsse aus Luftdruckpistole führten zur Festnahme,Raub
Menschenverachtende Chat-Nachrichten - Weiterer Tatverdacht,Raub
Kind ausländerfeindlich beleidigt,Körperverletzung
Frau angespuckt,Raub
Fahrzeuge der Polizei brannten,Raub
"Alkoholisiert, zu schnell und ohne Führerschein unterwegs",Raub
Kind tot aufgefunden,Raub
Falscher Polizist festgenommen,Raub
Autofahrer geschlagen und beraubt,Raub
Radfahrerin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Prostituierte verletzt,Verkehrsunfall
Nach Baby geguckt - Unfall verursacht,Diebstahl
Europaweiter Aktionstag gegen Hasspostings – mehrere Durchsuchungen auch in Berlin,Sachbeschädigung
Im Streit vor Tram geschubst,Raub
Einbruch in Bäckerei - Festnahme,Sachbeschädigung
Aus Fenster geschossen – vom SEK festgenommen worden,Raub
Tödliche Auseinandersetzung im Monbijoupark – Mann stellt sich,Raub
Verdacht der Brandstiftung an Firmenfahrzeug,Körperverletzung
Bauwagen ausgebrannt,Raub
Volksverhetzung und gefährliche Körperverletzung,Raub
Durch fünfköpfige Gruppe ausgeraubt - Festnahmen,Raub
Einbruch in ein Auto - Festnahme,Sachbeschädigung
Rollerfahrerin schwer verletzt,Verkehrsunfall
Überfall mit Machete,Raub
Jugendgruppen zündeten Pyrotechnik und warfen mit Eiern,Raub
Festnahmen nach Rufen nationalsozialistischer Parolen,Diebstahl
18-Jähriger mit Messer verletzt,Raub
Angriff auf ein Rettungsfahrzeug,Raub
Polizeiliche Maßnahmen anlässlich einer Demonstration in Friedrichshain,Sachbeschädigung
Fußgänger stirbt nach Verkehrsunfall,Diebstahl
Auto in Konditorei gefahren,Brandstiftung
Nach Verkehrsunfall geflüchtet,Diebstahl
Mutmaßliche Sprayer festgenommen,Raub
Immobilienbüro mit Steinen beworfen,Raub
Vermummte bewerfen Gebäude und Fahrzeug,Raub
Festnahmen mit Widerstand nach Einbruch in ein Auto,Sachbeschädigung
Raub auf Tankstelle,Raub
Geschäft überfallen,Raub
Kleidung eines Schlafenden angezündet – Tatverdächtiger festgenommen,Raub
Mann meldet sich bei Brandkommissariat,Raub
Auseinandersetzung zur Maskenpflicht,Raub
Tatverdächtiger nach Sexualstraftat gesucht,Diebstahl
Nach Einbruch in Designer-Shop,Sachbeschädigung
Taxifahrer verletzt – Zeugen gesucht,Raub
Mann angegriffen und schwer verletzt,Verkehrsunfall
Supermarkt überfallen,Raub
Opa und Enkel bei Verkehrsunfall verletzt,Verkehrsunfall
Fahrradreifen gestohlen - Festnahme,Raub
Tödlicher Verkehrsunfall in Baumschulenweg – Polizei sucht Zeugen,Sachbeschädigung
Supermarkt überfallen,Raub
Einsatzkräfte attackiert,Raub
Mutmaßliches Rauschgift und verdächtige Chemikalien gefunden,Raub
Auseinandersetzung zwischen Verkehrsteilnehmern,Raub
Unbekannter Gegenstand explodiert,Raub
Gemeinsamer Schwerpunkteinsatz – Kontrolle von Spielstätten,Raub
Festnahme nach schwerer Brandstiftung,Diebstahl
Unfall auf Autobahn – Drei schwer Verletzte,Raub
Autos stießen zusammen – zwei Verletzte,Raub
Tote Frau in Wohnung aufgefunden,Sachbeschädigung
Brennende Fahrzeuge – Verdacht der Brandstiftung,Raub
Politisch motivierte Sachbeschädigungen,Raub
Demonstrationen im gesamten Stadtgebiet,Raub
Großeinsatz gegen das Virus – Die Bilanz vom Sonntag,Raub
Vorstellung der Extremismusbeauftragten der Polizei Berlin,Raub
Mutmaßlicher Brandstifter festgenommen,Raub
Mann bedroht Autofahrer und Polizei,Raub
Großeinsatz gegen das Virus – Polizei Berlin und Bundespolizei ziehen eine Zwischenbilanz der Kontrollen am 24./25.10.2020 zwischen 18 und 2 Uhr,Raub
Radfahrer schwer verletzt,Verkehrsunfall
Mann durch Stich verletzt,Raub
Motorradfahrer verstorben,Raub
Großeinsatz gegen das Virus – Polizei Berlin und Bundespolizei ziehen eine erste Zwischenbilanz der Kontrollen von 10 bis 18 Uhr,Raub
Streitigkeiten im Straßenverkehr – 30-Jähriger mit Messer verletzt,Raub
Sachbeschädigungen an Granitschale im Lustgarten,Raub
Mann durch Schuss lebensgefährlich verletzt,Raub
Sportwagen erfasst Fußgänger,Raub
Mutmaßlich Rennen gefahren – Autos und Führerscheine beschlagnahmt,Raub
Drei Schwerverletzte nach Unfall,Diebstahl
Polizei Berlin und Bundespolizei im gemeinsamen Großeinsatz gegen das Virus,Raub
Tag des Einbruchschutzes,Raub
Fußgänger bei Unfall mit Elektroroller schwer verletzt,Verkehrsunfall
Polizist bei Widerstandshandlung schwer verletzt,Verkehrsunfall
Ohne Licht unterwegs und geflüchtet,Raub
Einbrecher-Trio festgenommen,Raub
Feuer im Hausflur – Brandkommissariat ermittelt,Raub
Mehrere Verkehrsunfälle – Fahrer flüchtete weiter,Raub
Nach Brandstiftung in der Liebigstraße – Polizeilicher Staatsschutz ermittelt wegen versuchten Totschlags,Sachbeschädigung
Mehrere Verletzte nach Auseinandersetzung,Diebstahl
Sachbeschädigung an Geschäft,Raub
Unfall mit Rettungswagen – Motorradfahrer schwer verletzt,Verkehrsunfall
Bewusstlosem gegen den Kopf getreten - Festnahme,Raub
84-Jährige bei Unfall schwer verletzt,Verkehrsunfall
Streit um Parklücke eskaliert,Raub
Zahlreiche Kunstwerke mit Flüssigkeit angegriffen,Raub
Mehrere Festnahmen nach versuchtem Einbruch in ein Einfamilienhaus,Sachbeschädigung
Radfahrer verliert das Bewusstsein,Raub
Miettoilette in Flammen,Sachbeschädigung
Mutmaßlicher Drogenhändler festgenommen,Raub
Hitlergruß gezeigt - Festnahme,Raub
Mann durch Messerstiche lebensgefährlich verletzt,Raub
Hotel beschädigt und beschmiert,Raub
Mann bei Verkehrsunfall lebensgefährlich verletzt,Verkehrsunfall
Gegenseitige Körperverletzung,Raub
Parteibüro beschmiert,Raub
Firmenfahrzeug beschädigt,Raub
Schwerverletzter nach Raub,Diebstahl
Polizist bei Kontrolle angefahren und verletzt,Raub
27-Jähriger nach räuberischer Erpressung festgenommen,Diebstahl
Nach schwerem Unfall mit Radfahrerin – Zeugen gesucht,Diebstahl
Festnahme nach verbotenem Kraftfahrzeugrennen,Diebstahl
Fahrradfahrer bei Unfall lebensgefährlich verletzt,Verkehrsunfall
Taxifahrer ausgeraubt und verletzt,Raub
Mann mit Messer schwer verletzt,Verkehrsunfall
Nach Unfall – Jogger im Krankenhaus verstorben,Diebstahl
Verdacht der Brandstiftung,Körperverletzung
Festnahmen nach Durchsuchungsfund von drei Kilogramm Heroin,Diebstahl
Frau und Kind bei Wohnungsbrand verstorben,Verkehrsunfall
Radfahrerin schwer verletzt,Verkehrsunfall
Mutmaßlich wegen Transsexualität mit Gegenständen beworfen,Raub
Mehrere Gegenstände angezündet,Raub
Tatserie in Hellersdorf,Sachbeschädigung
Auto brannte,Brandstiftung
Unfall zwischen Fußgänger und Straßenbahn,Raub
Lokal überfallen,Raub
Kinder und Frau bei Unfall schwer verletzt,Verkehrsunfall
Botschaft beschmiert und Landesflagge entwendet,Raub
In Veranstaltungsraum randaliert,Sachbeschädigung
Festnahme nach Diebstählen aus Autos,Diebstahl
Senior bei Verkehrsunfall verstorben,Verkehrsunfall
Motorradfahrer unter Pkw eingeklemmt,Raub
Auseinandersetzung in der Liebigstraße,Sachbeschädigung
Feuer und verfassungsfeindliches Symbol,Raub
Toter nach Wohnungsbrand,Diebstahl
Nach Körperverletzung homophob beleidigt,Diebstahl
Überfall mit Schusswaffe,Raub
Jogger von Sattelzug erfasst und schwer verletzt,Verkehrsunfall
17-Jähriger bei Unfall verletzt,Verkehrsunfall
Mit dem Auto ins Gleisbett,Brandstiftung
Pkw beschädigt und beschmiert,Raub
Festnahme nach Raub,Diebstahl
Scheiben eines Firmenfahrzeugs zerstört,Raub
Mann bei Streitigkeiten mit Messern verletzt,Verkehrsunfall
Zusammenstoß mit Streifenwagen – zwei Polizisten verletzt,Raub
Mann bei Überfall verletzt,Verkehrsunfall
Schwer verletzte Radfahrerin nach Verkehrsunfall,Diebstahl
Auto aufgebrochen – Festnahme,Brandstiftung
Liebigstraße 34 - Polizeiliche Maßnahmen anlässlich der Räumung und themenbezogener Ereignisse,Raub
Radfahrer bei Unfall schwer verletzt,Verkehrsunfall
Alkoholisierter Autofahrer verursacht mehrere Verkehrsunfälle – Zwei Verletzte,Raub
Verdacht des Versicherungsbetruges – 14 Durchsuchungsbeschlüsse vollstreckt,Raub
